state,city,zip,Y,X,compid,id
MD,Perryville,21903,39.571241,-76.046209,2,266
FL,Ocala,34473,29.026127,-82.185636,2,267
UT,MSC,84404,41.276379,-111.987441,2,268
TN,Morristown,37814,36.221466,-83.310936,2,269
MI,Dexter,48130,42.353665,-83.897388,2,270
IN,Terre Haute,47802,39.42715,-87.391878,2,271
PA,Drums,18222,41.035414,-75.952009,2,272
IL,Bloomington,61701,40.47558,-89.00472,2,273
LA,Hammond,70403,30.48572,-90.47534,2,274
MO,Marston,63873,36.430781,-89.697849,2,275
AL,Theodore,36582,30.532137,-88.179287,2,276
OH,Napoleon,43545,41.386399,-84.133117,2,277
IN,New Haven,46774,41.076957,-84.996923,2,278
NM,Jamestown,87347,35.432459,-108.729828,2,279
TX,San Antonio,78219,29.44692,-98.38098,2,280
CA,N. Palm Springs,92258,33.922919,-116.549446,2,281
WY,Laramie,82072,41.06136,-106.01475,2,282
OH,Caldwell,43724,39.76968,-81.48006,2,283
SC,Duncan,29334,34.914282,-82.134672,2,284
PA,Erie,16509,42.072512,-80.063237,2,285
GA,Tallapoosa,30176,33.753316,-85.291849,2,286
IL,East Saint Louis,62201,38.628113,-90.138442,2,287
TN,Lake City,37769,36.215045,-84.153561,2,288
TN,Severville,37862,35.871495,-83.53315,2,289
MO,Joplin,64804,37.064704,-94.509874,2,290
IN,Indianapolis,46217,39.667568,-86.198814,2,291
GA,Dalton,30721,34.784599,-84.932948,2,292
KY,Walton,41094,38.884714,-84.634472,2,293
NY,Bath,14810,42.34203,-77.318938,2,294
WI,Franksville,53126,42.779997,-87.960272,2,295
IL,Minonk,61760,40.89318,-89.03568,2,296
AZ,Quartsite,85359,33.691042,-114.223077,2,297
IA,Council Bluffs,51501,41.254887,-95.852753,2,298
TX,New Braunfels,78132,29.77722,-98.15298,2,299
GA,Atlanta,30316,33.718321,-84.32619,2,300
AR,N. Little Rock,72117,34.78092,-92.15208,2,301
TN,Knoxville,37923,35.924565,-84.100399,2,302
LA,Rayville,71269,32.48136,-91.76166,2,303
PA,Dubois,15801,41.124856,-78.763496,2,304
SC,Florence,29501,34.182662,-79.782749,2,305
SC,Cayce,29033,33.965536,-81.069156,2,306
IN,Covington,47932,40.138435,-87.391625,2,307
NV,Fernley,89408,39.597279,-119.231521,2,308
NV,N. Las Vegas,89031,36.256036,-115.140687,2,309
CA,Otay Mesa,92154,32.578188,-117.072374,2,310
SC,Lugoff,29078,34.220008,-80.71366,2,311
IL,McLean,61754,40.314947,-89.170467,2,312
PA,Bentleyville,15314,40.133934,-80.012058,2,313
ID,Mountain Home,83647,43.16976,-115.71378,2,314
FL,Fort Myers,33905,26.67091,-81.80214,2,315
KY,Georgetown,40324,38.220225,-84.565091,2,316
KY,Simpsonville,40067,38.235127,-85.352938,2,317
KY,Brooks,40165,38.010762,-85.697038,2,318
KY,Paducah,42001,37.03758,-88.71018,2,319
OH,Findlay,45840,41.043063,-83.643019,2,320
IN,Pendleton,46064,39.99252,-85.77294,2,321
TN,Memphis,38118,35.048583,-89.925961,2,322
CA,Madera,93637,36.958261,-120.070035,2,323
TN,Jackson,38305,35.681229,-88.821998,2,324
TX,Caddo Mills,75135,33.068967,-96.229757,2,325
IL,Decatur,62521,39.827104,-88.924086,2,326
AL,Birmingham,35204,33.520297,-86.838364,2,327
PA,Pittston,18640,41.321046,-75.792617,2,328
CA,CASTAIC,91384,34.46482,-118.640594,2,329
IA,Des Moines,50322,41.629345,-93.732012,2,330
FL,Marianna,32448,30.661698,-85.18484,2,331
TX,Houston,77013,29.795292,-95.23979,2,332
TN,Knoxville,37919,35.926579,-84.006405,2,333
TX,Laredo,78045,27.594073,-99.51285,2,334
IL,Chicago,51111,42.425511,-96.375133,2,335
NY,Liverpool,13088,43.111538,-76.195307,2,336
CA,Hesperia,92345,34.416478,-117.307226,2,337
VA,Colonial Heights,23834,37.287361,-77.391074,2,338
MO,Collins,64738,37.869606,-93.678666,2,339
OR,Brooks,97303,45.01182,-123.01566,2,340
NV,Carlin,89822,40.716972,-116.105345,2,341
MS,Meridian,39307,32.330793,-88.827844,2,342
OR,Stanfield,97875,45.780672,-119.217409,2,343
OR,Central Point,97502,42.402193,-122.914829,2,344
KY,Sonora,42776,37.52738,-85.932922,2,345
NC,WAYNESVILLE,28786,35.500644,-82.99509,2,346
NY,Newburgh,12550,41.51748,-74.06022,2,347
VA,Staunton,24401,38.153156,-79.078684,2,348
GA,Vienna,31092,32.093587,-83.793623,2,349
KY,Lebanon Junction,40150,37.853195,-85.729211,2,350
WY,Cheyenne,82007,41.111908,-104.863666,2,351
TN,Heiskel,37754,36.087523,-84.042629,2,352
TN,Murfreesboro,37127,35.775581,-86.328633,2,353
TN,Memphis,38118,35.048583,-89.925961,2,354
TN,Cornersville,37047,35.360804,-86.840796,2,355
IA,Clear Lake,50428,43.138257,-93.384461,2,356
MD,Grantsville,21536,39.67668,-79.15392,2,357
TN,Dickson,37055,36.083188,-87.428235,2,358
TN,Lebanon,37090,36.152343,-86.315832,2,359
TN,White Pine,37890,36.06164,-83.26011,2,360
TN,Nashville,37209,36.150761,-86.8641,2,361
GA,Rising Fawn,30738,34.782056,-85.444826,2,362
GA,Cordele,31015,31.946591,-83.765287,2,363
GA,Temple,30179,33.808273,-85.018501,2,364
GA,Madison,30650,33.590212,-83.477409,2,365
GA,Dalton,30721,34.784599,-84.932948,2,366
GA,Newnan,30263,33.393182,-84.823447,2,367
FL,Ocala,34482,29.229052,-82.306676,2,368
FL,Midway,32343,30.487891,-84.462951,2,369
LA,West Monroe,71292,32.444493,-92.203495,2,370
AR,West Memphis,72301,35.146563,-90.177352,2,371
AR,Russellville,72802,35.31758,-93.091084,2,372
TX,Orange,77630,30.081944,-93.758056,2,373
TX,Waco,76706,31.48032,-97.11588,2,374
TX,Dallas,75241,32.656089,-96.746634,2,375
TX,Fort Worth,76178,32.72528,-97.32056,2,376
TX,Anthony,79821,31.970939,-106.597447,2,377
TX,Amarillo,79118,35.06543,-101.852052,2,378
KY,Williamsburg,40769,36.744037,-84.165125,2,379
KY,Franklin,42134,36.728547,-86.572927,2,380
KY,Oak Grove,42262,36.677845,-87.447679,2,381
KY,Pendleton,40055,38.49504,-85.339571,2,382
AL,Priceville,35603,34.546718,-86.981852,2,383
MO,Hayti,63851,36.235589,-89.749057,2,384
MO,Higginsville,64037,39.033181,-93.707924,2,385
IN,Brazil,47834,39.52512,-87.1692,2,386
IN,Burns Harbor,46304,41.617037,-87.028793,2,387
IN,Daleville,47334,40.122017,-85.548158,2,388
IN,Haubstadt,47639,38.1846,-87.62592,2,389
IN,Hebron,46341,41.34042,-87.198181,2,390
OH,Belmont,43718,40.015424,-81.01562,2,391
SC,Gaffney,29341,35.09456,-81.677416,2,392
OH,London,43140,39.89106,-83.40534,2,393
OH,MARENGO,43334,40.3857,-82.82976,2,394
AL,Cottondale,35453,33.200553,-87.401063,2,395
FL,Wildwood,32097,30.661181,-81.63836,2,396
GA,Carnesville,30521,34.383201,-83.286493,2,397
GA,Calhoun,30701,34.495946,-84.931056,2,398
GA,Villa Rica,30180,33.708023,-84.932487,2,399
GA,Jackson,30233,33.294108,-83.965048,2,400
GA,Valdosta,31601,30.825593,-83.284447,2,401
GA,Kingsland,31548,30.790654,-81.711294,2,402
PA,Harrisburg,17112,40.33806,-76.80378,2,403
SC,Blacksburg,29702,35.11567,-81.513969,2,404
SC,Rock Hill,29730,34.929113,-81.022958,2,405
SC,Graniteville,29829,33.560576,-81.828149,2,406
SC,Hardeeville,29927,32.2813,-81.071015,2,407
OH,Beaver Dam,45808,40.830818,-83.969324,2,408
SC,St. George,29477,33.185354,-80.581025,2,409
SC,Winnsboro,29180,34.372149,-81.086971,2,410
SC,St. Matthews,29135,33.66187,-80.781778,2,411
AZ,Eloy,85231,32.75583,-111.55417,2,412
SC,Prosperity,29127,34.182431,-81.52094,2,413
SC,Bishopville,29010,34.21908,-80.27082,2,414
SC,Latta,29565,34.335502,-79.432246,2,415
AZ,Avondale,85323,33.429286,-112.345055,2,416
TN,White Pine,37890,36.06164,-83.26011,2,417
TN,Gordonsville,38563,36.172586,-85.931293,2,418
TN,Niota,37826,35.509859,-84.545622,2,419
TN,Monteagle,37356,35.219746,-85.850668,2,420
OK,Oklahoma City,73128,35.451515,-97.620639,2,421
VA,Wytheville,24382,36.94526,-81.089071,2,422
VA,South Boston,24592,36.709303,-78.90154,2,423
VA,Tom's Brook,22660,38.949385,-78.43084,2,424
VA,Raphine,24472,37.937785,-79.136378,2,425
VA,Skippers,23879,36.588846,-77.542319,2,426
VA,Disputanta,23842,37.15295,-77.237944,2,427
TX,San Antonio,78264,29.192675,-98.517416,2,428
IL,Gilman,60938,40.770329,-87.987922,2,429
OH,Canton,47706,37.95693,-87.558672,2,430
WI,Hudson,54023,44.9898,-92.56092,2,431
FL,Haines City,33845,28.110209,-81.629416,2,432
TX,Beasley,77417,29.47458,-95.97132,2,433
IL,Channahon,60410,41.436384,-88.187708,2,434
WV,Sutton,26601,38.67233,-80.687532,2,435
NM,Moriarty,87035,34.959132,-106.054681,2,436
IL,Woodhull,61490,41.178623,-90.315302,2,437
TX,Anna,75409,33.345806,-96.577245,2,438
IN,Leavenworth,47137,38.209645,-86.365045,2,439
TN,Cleveland,37311,35.15733,-84.87039,2,440
